age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,log_balance
28,management,married,secondary,no,292,yes,no,unknown,28,may,507,1,-1,0,unknown,yes,5.680172609017068
23,services,single,secondary,no,665,yes,no,unknown,28,may,1183,1,-1,0,unknown,yes,6.501289670540389
34,management,single,tertiary,no,1058,yes,no,unknown,28,may,864,2,-1,0,unknown,yes,6.9650803456014065
28,student,single,secondary,no,949,yes,no,unknown,28,may,1730,1,-1,0,unknown,yes,6.856461984594587
51,entrepreneur,married,unknown,no,606,yes,no,unknown,28,may,560,9,-1,0,unknown,yes,6.408528791059498
35,blue-collar,married,secondary,no,0,yes,yes,unknown,29,may,543,1,-1,0,unknown,yes,0.0
35,admin.,married,secondary,no,404,yes,no,unknown,29,may,539,1,-1,0,unknown,yes,6.003887067106539
56,blue-collar,married,secondary,no,249,yes,no,unknown,29,may,791,2,-1,0,unknown,yes,5.521460917862246
45,unemployed,divorced,secondary,no,3354,yes,no,unknown,29,may,746,1,-1,0,unknown,yes,8.118207049405783
60,blue-collar,divorced,secondary,no,0,yes,no,unknown,29,may,1207,1,-1,0,unknown,yes,0.0
56,technician,married,secondary,no,589,yes,no,unknown,29,may,535,2,-1,0,unknown,yes,6.380122536899765
27,management,single,tertiary,no,12956,yes,no,unknown,29,may,789,3,-1,0,unknown,yes,9.469391461628812
30,admin.,married,secondary,no,873,yes,no,unknown,29,may,792,3,-1,0,unknown,yes,6.773080375655535
45,blue-collar,divorced,primary,no,594,yes,no,unknown,29,may,833,2,-1,0,unknown,yes,6.38856140554563
29,blue-collar,single,secondary,no,-20,yes,no,unknown,29,may,814,2,-1,0,unknown,yes,
38,management,divorced,tertiary,no,4692,yes,no,unknown,29,may,1363,2,-1,0,unknown,yes,8.453827315794417
30,blue-collar,married,secondary,no,486,yes,no,unknown,29,may,1109,3,-1,0,unknown,yes,6.18826412308259
44,blue-collar,single,primary,no,1593,yes,no,unknown,29,may,828,3,-1,0,unknown,yes,7.374001859350161
36,management,single,tertiary,no,7606,yes,no,unknown,30,may,917,1,-1,0,unknown,yes,8.936824154997302
38,technician,married,secondary,no,226,yes,no,unknown,30,may,762,3,-1,0,unknown,yes,5.424950017481403
36,blue-collar,single,secondary,no,366,yes,yes,unknown,30,may,1133,2,-1,0,unknown,yes,5.905361848054571
37,management,divorced,secondary,no,16,yes,no,unknown,30,may,638,1,-1,0,unknown,yes,2.833213344056216
35,management,single,tertiary,no,565,yes,no,unknown,30,may,763,1,-1,0,unknown,yes,6.338594078203183
38,admin.,divorced,secondary,no,19,yes,no,unknown,30,may,604,2,-1,0,unknown,yes,2.995732273553991
40,services,married,primary,no,1082,yes,no,unknown,30,may,854,2,-1,0,unknown,yes,6.9874902470009905
42,unemployed,divorced,secondary,no,1713,yes,no,unknown,30,may,855,2,-1,0,unknown,yes,7.446585099157725
46,management,divorced,tertiary,no,14481,yes,no,unknown,30,may,1269,1,-1,0,unknown,yes,9.580661777948766
35,technician,divorced,secondary,no,5724,yes,no,unknown,30,may,691,10,-1,0,unknown,yes,8.65259782842244
34,technician,divorced,secondary,no,1451,yes,no,unknown,30,may,1097,15,-1,0,unknown,yes,7.280697195384741
32,services,married,secondary,no,-34,yes,no,unknown,30,may,1236,2,-1,0,unknown,yes,
50,unemployed,married,secondary,no,3674,yes,no,unknown,30,may,886,3,-1,0,unknown,yes,8.209308411646937
35,blue-collar,married,secondary,no,698,yes,yes,unknown,30,may,1343,3,-1,0,unknown,yes,6.54965074223381
36,technician,single,secondary,no,4136,yes,no,unknown,30,may,812,3,-1,0,unknown,yes,8.327726166461412
53,blue-collar,divorced,primary,no,2656,yes,no,unknown,30,may,1980,2,-1,0,unknown,yes,7.884952945759814
46,management,single,tertiary,no,2904,yes,no,unknown,30,may,984,2,-1,0,unknown,yes,7.974188669286011
26,management,single,tertiary,no,1004,yes,no,unknown,30,may,228,2,-1,0,unknown,yes,6.912742820493176
45,technician,single,secondary,no,410,yes,no,unknown,30,may,891,4,-1,0,unknown,yes,6.018593214496234
31,unemployed,divorced,primary,no,0,yes,no,unknown,30,may,745,12,-1,0,unknown,yes,0.0
29,management,single,tertiary,no,0,yes,no,unknown,30,may,539,12,-1,0,unknown,yes,0.0
53,entrepreneur,single,secondary,no,62,yes,no,unknown,30,may,1044,5,-1,0,unknown,yes,4.143134726391533
27,blue-collar,married,primary,no,416,yes,no,unknown,30,may,1193,2,-1,0,unknown,yes,6.0330862217988015
39,management,married,tertiary,no,2763,yes,no,unknown,2,jun,526,2,-1,0,unknown,yes,7.92443418488756
36,services,married,secondary,no,2984,yes,no,unknown,2,jun,394,1,-1,0,unknown,yes,8.001355025826703
41,blue-collar,married,primary,no,143,yes,yes,unknown,2,jun,659,2,-1,0,unknown,yes,4.969813299576001
36,services,married,primary,no,0,yes,no,unknown,2,jun,1036,1,-1,0,unknown,yes,0.0
32,technician,married,secondary,no,696,yes,no,unknown,2,jun,815,1,-1,0,unknown,yes,6.546785410760524
35,services,married,secondary,no,152,yes,no,unknown,2,jun,563,1,-1,0,unknown,yes,5.030437921392435
36,management,single,tertiary,no,-78,yes,no,unknown,2,jun,1068,1,-1,0,unknown,yes,
35,management,married,tertiary,no,867,yes,no,unknown,2,jun,230,3,-1,0,unknown,yes,6.7661917146603505
30,blue-collar,single,secondary,no,953,yes,no,unknown,2,jun,747,2,-1,0,unknown,yes,6.860663671448287
42,blue-collar,married,secondary,no,443,yes,no,unknown,2,jun,671,5,-1,0,unknown,yes,6.095824562432225
42,technician,single,secondary,yes,-1129,yes,no,unknown,2,jun,555,5,-1,0,unknown,yes,
32,blue-collar,married,primary,no,415,yes,no,unknown,2,jun,777,4,-1,0,unknown,yes,6.030685260261263
29,blue-collar,single,secondary,no,260,yes,no,unknown,2,jun,707,14,-1,0,unknown,yes,5.564520407322694
44,management,divorced,tertiary,yes,-411,yes,no,unknown,2,jun,432,4,-1,0,unknown,yes,
32,technician,single,secondary,no,1279,yes,no,unknown,3,jun,1173,3,-1,0,unknown,yes,7.154615356913663
31,unemployed,married,secondary,no,86,yes,yes,unknown,3,jun,963,2,-1,0,unknown,yes,4.465908118654584
40,self-employed,married,secondary,yes,-754,yes,yes,unknown,3,jun,941,3,-1,0,unknown,yes,
43,entrepreneur,married,secondary,no,0,no,no,unknown,3,jun,1025,7,-1,0,unknown,yes,0.0
27,management,single,secondary,no,178,yes,no,unknown,3,jun,732,2,-1,0,unknown,yes,5.187385805840755
37,services,single,secondary,no,278,yes,no,unknown,3,jun,1045,3,-1,0,unknown,yes,5.631211781821365
23,services,single,secondary,no,425,yes,no,unknown,3,jun,768,1,-1,0,unknown,yes,6.054439346269371
25,management,married,primary,no,168,yes,no,unknown,3,jun,801,1,-1,0,unknown,yes,5.1298987149230735
26,blue-collar,single,secondary,yes,-36,yes,no,unknown,3,jun,482,2,-1,0,unknown,yes,
47,blue-collar,divorced,primary,no,126,yes,no,unknown,3,jun,2456,2,-1,0,unknown,yes,4.844187086458591
35,admin.,married,secondary,no,-87,yes,no,unknown,3,jun,1363,7,-1,0,unknown,yes,
32,technician,single,tertiary,no,6281,yes,no,unknown,3,jun,1336,4,-1,0,unknown,yes,8.745443680098592
45,management,divorced,secondary,no,644,yes,no,unknown,4,jun,633,1,-1,0,unknown,yes,6.4692503167957724
30,admin.,divorced,secondary,no,377,yes,no,unknown,4,jun,524,15,-1,0,unknown,yes,5.934894195619588
29,services,single,secondary,no,-271,yes,no,unknown,4,jun,578,1,-1,0,unknown,yes,
38,blue-collar,married,primary,no,5839,yes,no,unknown,4,jun,984,2,-1,0,unknown,yes,8.672486075822272
23,blue-collar,single,secondary,no,492,yes,no,unknown,4,jun,638,1,-1,0,unknown,yes,6.20050917404269
27,management,single,tertiary,no,99,yes,no,unknown,4,jun,767,2,-1,0,unknown,yes,4.605170185988092
27,management,single,tertiary,yes,-713,yes,no,unknown,4,jun,525,2,-1,0,unknown,yes,
29,services,single,secondary,no,32,yes,no,unknown,4,jun,563,1,-1,0,unknown,yes,3.4965075614664802
30,self-employed,married,tertiary,no,543,yes,yes,unknown,4,jun,1449,6,-1,0,unknown,yes,6.298949246855942
36,blue-collar,married,primary,no,403,yes,no,unknown,4,jun,920,1,-1,0,unknown,yes,6.0014148779611505
35,admin.,divorced,secondary,no,437,yes,no,unknown,4,jun,908,1,-1,0,unknown,yes,6.082218910376446
36,blue-collar,married,secondary,no,1772,no,no,unknown,5,jun,208,1,-1,0,unknown,yes,7.480428306074208
59,retired,divorced,primary,no,-88,yes,no,unknown,5,jun,910,2,-1,0,unknown,yes,
47,entrepreneur,married,secondary,no,0,no,no,unknown,5,jun,1446,1,-1,0,unknown,yes,0.0
58,entrepreneur,married,tertiary,no,853,no,no,unknown,5,jun,1149,2,-1,0,unknown,yes,6.74993119378857
37,management,single,tertiary,no,240,no,no,unknown,5,jun,1123,1,-1,0,unknown,yes,5.484796933490655
46,admin.,single,secondary,no,849,yes,no,unknown,5,jun,508,2,-1,0,unknown,yes,6.745236349484362
43,blue-collar,single,secondary,no,318,yes,no,unknown,5,jun,736,2,-1,0,unknown,yes,5.765191102784844
27,management,single,tertiary,no,703,yes,no,unknown,5,jun,590,3,-1,0,unknown,yes,6.556778356158042
38,services,divorced,secondary,no,61,no,no,unknown,5,jun,636,1,-1,0,unknown,yes,4.127134385045092
53,housemaid,married,primary,no,104,no,yes,unknown,5,jun,701,1,-1,0,unknown,yes,4.653960350157523
47,blue-collar,married,secondary,no,1996,no,no,unknown,5,jun,761,2,-1,0,unknown,yes,7.599401333415815
56,housemaid,divorced,primary,yes,1238,no,no,unknown,5,jun,1558,1,-1,0,unknown,yes,7.122059881629142
41,housemaid,married,secondary,no,879,no,no,unknown,5,jun,1053,2,-1,0,unknown,yes,6.779921907472252
29,self-employed,married,secondary,no,425,yes,no,unknown,5,jun,562,15,-1,0,unknown,yes,6.054439346269371
50,technician,married,secondary,no,416,yes,no,unknown,5,jun,494,5,-1,0,unknown,yes,6.0330862217988015
45,blue-collar,divorced,primary,no,844,no,no,unknown,5,jun,1018,3,-1,0,unknown,yes,6.739336627357174
35,blue-collar,married,secondary,no,860,yes,no,unknown,5,jun,884,4,-1,0,unknown,yes,6.7580945044277305
26,technician,single,secondary,no,639,yes,no,unknown,6,jun,709,5,-1,0,unknown,yes,6.461468176353717
26,admin.,married,secondary,no,710,yes,yes,unknown,6,jun,1276,2,-1,0,unknown,yes,6.566672429803241
37,blue-collar,married,unknown,no,1508,no,yes,unknown,6,jun,381,2,-1,0,unknown,yes,7.319202458767849
30,admin.,single,secondary,no,223,yes,no,unknown,6,jun,862,11,-1,0,unknown,yes,5.4116460518550396
